Suomen Valkoisen Ruusun suurristi / Storkorset av Finlands Vita Ros orden 
Koponen, Markku Seppo Juhani, lakiasiainjohtaja, Vantaa
Koskela, Pekka Johannes, akatemiaprofessori, Jyväskylä
Koskipirtti, Jukka Kalevi, toimitusjohtaja, Helsinki
Kuisma, Eero Markku Sakari, Suomen ja Pohj.maiden hist. professori, Helsinki
Kumpula, Anne Marie, ympäristöoikeuden professori, Turku
Kurtén, Tage Alvarson, professor, Åbo
Kyllästinen, Raimo Veikko, hovioikeudenneuvos, Yläne
Könönen, Eija Inkeri, professori, Turku
Laakso, Liisa Riitta Kristiina, dekaani, Helsinki
Lahti, Reijo Juhani, biokemian professori, Turku
Lattunen, Pertti Ensio, hovioikeudenneuvos, Helsinki
Lehto, Matti Urho Kalevi, professori, Tampere
Leinonen, Antti Tuomas, lainsäädäntöjohtaja, Mäntsälä
Luukkainen, Olli Jarmo Taneli, Opetusalan ammattijärjestö OAJ ry, puheenjohtaja
Maijala, Riitta Liisa, johtaja, Helsinki
Martikainen, Petri Henrik, esittelijäneuvos, Kirkkonummi
Mitts, Lena Maria, advokat, Helsingfors
Mitts, Ralf Bjarne, hallituksen puheenjohtaja, Helsinki
Myrsky, Matti Juhani, professori, Joensuu
Mäkelä, Juha Kalevi, esittelijäneuvos, Espoo
Mäntysaari, Mikko Juhani, professori, Laukaa
Möller, Irma Marjatta Katariina, hovioikeudenneuvos, Helsinki
Niemi, Jyrki Sakari, professori, Vantaa
Nikunen, Harri Lasse Juhani, talous- ja rahoitusjohtaja, Lahti
Nylund, Nils-Olof, tutkimusprofessori, Espoo
Oivo, Markku Tapani, ts. professori, Oulu
Pakkanen, Tuula Tellervo, professori, Joensuu
Paloheimo, Eero Kalervo, professori, Tuusula
Pekola, Jukka Pekka, professori, Helsinki
Peltonen-Sainio, Pirjo Hannele, professori, Nurmijärvi
Pietarinen, Päivi Annikki, kansliapäällikkö, Helsinki
Poutiainen, Yrjö Tapani, turvallisuusjohtaja, Kerava
Raitakari, Olli Tuomas, Akatemiaprofessori, Turku
Rantala, Kari Ilmari, päällikkö, Vantaa
Rautiainen, Juha Aarne, hallinto-oikeustuomari, Helsinki
Riitahuhta, Asko Olavi, professori, Tampere
Ritschkoff, Anne-Christine, tieteellinen johtaja, Helsinki
Roni-Poranen, Salla Pirjo Anitta, tuotantopäällikkö, Porvoo
Saari, Heikki Juhani, liiton puheenjohtaja, Helsinki
Saarinen, Rainer Ari Uolevi, korkeakouluneuvos, Vantaa
Sahlberg, Pasi Jyrki Einari, johtaja, Helsinki
Skog-Södersved, Britta Inger Mariann, professor, Korsholm
